Date,Open,High,Low,Close,Volume,trade_value
2016/8/11,129.94,130.45,128.94,130.23,146590,8195.7
2016/8/12,129.91,130.67,129.15,129.67,126751,8001.6
2016/8/15,129.96,130.46,129.09,129.69,100072,6104.0
2016/8/16,129.83,130.02,128.92,129.15,115456,7156.5
2016/8/17,129.21,129.47,128.19,128.41,99449,6688.1
2016/8/18,128.67,129.09,128.05,128.27,82291,5246.6
2016/8/19,128.42,128.93,127.03,127.43,91591,6405.6
2016/8/22,127.43,127.65,126.33,127.4,94337,6637.4
2016/8/23,127.72,128.61,127.4,127.96,83512,5673.3
2016/8/24,128.22,129.42,127.76,128.88,108321,4904.5
2016/8/25,128.9,129.76,128.61,129.5,133645,6521.7
2016/8/26,129.49,130.12,129.31,129.87,143439,6782.4
2016/8/29,129.88,130.01,128.41,128.9,115563,6174.9
2016/8/30,128.8,129.37,128.31,128.7,104182,5205.5
2016/8/31,128.69,129.14,127.52,127.52,111479,7058.6
2016/9/1,127.52,128.1,126.62,126.63,104581,6831.3
2016/9/2,126.65,127.36,125.85,126.66,114616,6858.1
2016/9/5,126.77,128.32,126.72,127.61,75743,4275.8
2016/9/6,127.64,128.33,127.37,127.99,85656,5076.5
2016/9/7,128.12,129.04,128.03,128.38,83290,5001.3
2016/9/8,128.29,128.76,127.82,128.24,85765,4472.1
2016/9/9,127.83,128.04,127.21,127.55,69912,4132.9
2016/9/10,127.04,127.13,126.35,126.9,58560,3138.7
2016/9/12,126.43,126.87,125.79,125.79,90378,5237.4
2016/9/13,125.91,126.4,124.9,125.53,108813,6562.2
2016/9/14,125.14,125.36,124.43,124.9,109644,7400.7
2016/9/19,125.07,126.71,125.07,126.71,108798,7993.5
2016/9/20,126.25,126.63,125.71,125.71,88410,6058.0
2016/9/21,125.73,126.69,125.69,126.45,94106,6111.4
2016/9/22,126.93,127.31,126.1,126.6,89922,6111.7
2016/9/23,126.79,127.0,126.15,126.78,94003,6257.0
2016/9/26,126.54,126.76,126.15,126.58,60172,4055.3
2016/9/29,126.5,127.23,126.32,126.66,97733,6772.8
2016/9/30,126.37,126.72,125.3,125.73,106694,7763.3
2016/10/3,125.8,126.7,125.77,126.29,72308,5288.6
2016/10/4,126.42,126.81,125.9,126.71,93786,6693.5
2016/10/5,126.46,127.16,126.24,126.96,91057,5553.3
2016/10/6,126.6,127.04,126.13,127.04,95810,6210.0
2016/10/7,127.0,127.26,126.28,126.28,98536,7076.1
2016/10/11,126.29,126.89,125.74,126.41,142315,9425.4
2016/10/12,126.15,126.98,126.02,126.45,91935,6555.0
2016/10/13,126.21,126.78,125.99,126.12,90610,6203.9
2016/10/14,125.87,126.28,125.36,125.5,91100,6127.8
2016/10/17,125.56,126.21,124.72,126.09,64041,4645.6
2016/10/18,125.88,126.31,125.59,126.27,70156,5354.2
2016/10/19,126.07,126.57,125.59,125.66,80604,6135.6
2016/10/20,125.85,126.14,125.41,125.43,73723,5429.2
2016/10/21,125.5,126.15,125.47,126.05,62375,4492.4
2016/10/24,125.83,126.45,125.74,126.36,60504,5010.4
2016/10/25,126.42,126.7,125.82,125.93,73225,5767.5
2016/10/26,125.94,126.35,125.8,125.89,72381,4869.3
2016/10/27,125.95,126.27,125.31,125.31,83086,6188.1
2016/10/28,124.89,125.29,124.52,125.05,94835,7149.8
2016/10/31,124.8,124.91,123.53,123.63,89689,7338.4
2016/11/1,123.36,124.18,122.54,123.76,65756,5176.4
2016/11/2,123.22,123.3,122.4,122.81,69539,5009.9
2016/11/3,122.76,123.55,122.0,122.4,100218,7328.1
2016/11/4,122.08,122.62,121.91,121.96,64930,4706.7
2016/11/7,122.34,123.62,122.13,122.92,69864,5251.0
2016/11/8,123.08,124.08,122.28,123.84,69065,4886.8
2016/11/9,124.21,124.9,122.04,122.06,124904,8045.6
2016/11/10,122.65,123.71,122.62,122.62,98687,6943.6
2016/11/11,121.72,121.99,119.79,119.79,124508,8427.7
2016/11/14,119.43,119.74,118.18,118.52,113749,8254.6
2016/11/15,118.02,118.47,117.53,117.53,107652,7967.2
2016/11/16,117.66,119.87,117.66,119.14,98268,7311.7
2016/11/17,118.61,119.69,118.36,119.29,78902,5006.5
2016/11/18,119.08,120.35,118.88,119.67,89748,5593.0
2016/11/21,119.63,120.41,119.13,119.55,63047,3969.0
2016/11/22,119.56,120.98,119.53,120.05,87911,5846.0
