Date,Open,High,Low,Close,Volume,vol_deg_change,vol_percentile,body,upper_shadow,lower_shadow,norm_o,norm_h,norm_l,norm_c,log_rtn,kalman_log_rtn1
2019-05-10,74.44,75.9,72.77,74.19,24047743667,1.0,0.747,0.08,0.47,0.45,0.0,0.0194,-0.0227,-0.0034,-0.00336,-0.00118
2019-05-11,74.18,79.61,72.66,77.11,42291592520,1.0,0.936,0.42,0.36,0.22,-0.0001,0.0706,-0.0207,0.0387,0.0386,0.00263
2019-05-12,77.12,95.0,76.85,86.59,90960212694,1.0,0.994,0.52,0.46,0.01,0.0001,0.2085,-0.0035,0.1158,0.11595,0.01426
2019-05-13,86.59,94.01,83.0,84.73,79726285973,0.0,0.986,0.17,0.67,0.16,0.0,0.0822,-0.0423,-0.0217,-0.02171,0.01044
2019-05-14,84.71,92.49,84.1,87.16,62731135573,0.0,0.965,0.29,0.64,0.07,-0.0002,0.0879,-0.0072,0.0285,0.02828,0.01232
2019-05-15,87.34,93.61,86.5,91.17,64413906467,1.0,0.965,0.54,0.34,0.12,0.0021,0.0693,-0.0097,0.0429,0.04498,0.01584
2019-05-16,91.15,104.25,89.69,102.02,67342992612,1.0,0.971,0.75,0.15,0.1,-0.0002,0.1343,-0.0161,0.1127,0.11244,0.02687
2019-05-17,102.03,107.14,90.73,95.49,117988510784,1.0,0.996,0.4,0.31,0.29,0.0001,0.0489,-0.1174,-0.0662,-0.06615,0.01623
2019-05-18,95.49,97.48,84.27,89.76,91417922548,0.0,0.992,0.43,0.15,0.42,0.0,0.0206,-0.125,-0.0619,-0.06188,0.00795
2019-05-19,89.76,90.51,85.11,86.51,38054214297,0.0,0.893,0.6,0.14,0.26,0.0,0.0083,-0.0532,-0.0369,-0.03688,0.00346
2019-05-20,86.55,96.81,86.07,94.58,58464951759,1.0,0.956,0.75,0.21,0.04,0.0005,0.112,-0.0056,0.0887,0.08919,0.01221
2019-05-21,94.55,94.58,87.11,91.1,44773571615,0.0,0.931,0.46,0.0,0.53,-0.0003,0.0003,-0.082,-0.0372,-0.03749,0.00706
2019-05-22,91.1,93.02,88.83,90.79,33553823309,0.0,0.855,0.07,0.46,0.47,0.0,0.0209,-0.0252,-0.0034,-0.00341,0.006
